review_id,text,rating,category,label,clean_text,tokens,token_str,predicted_sentiment,sentiment_confidence,aspects,aspect_sentiments
1,The app crashes every time I try to sync data.,1,electronics,negative,the app crashes every time i try to sync data,"['app', 'crash', 'every', 'time', 'try', 'sync', 'data']",app crash every time try sync data,neutral,1.0,"['performance', 'software', 'connectivity']","{'performance': 'neutral', 'software': 'negative', 'connectivity': 'negative'}"
2,Build quality feels premium. Solid and durable construction.,4,electronics,positive,build quality feels premium solid and durable construction,"['build', 'quality', 'feel', 'premium', 'solid', 'durable', 'construction']",build quality feel premium solid durable construction,neutral,0.8469,"['build_quality', 'software']","{'build_quality': 'positive', 'software': 'neutral'}"
3,Camera quality is stunning. Photos come out crisp and vibrant even in low light.,5,electronics,positive,camera quality is stunning photos come out crisp and vibrant even in low light,"['camera', 'quality', 'stunning', 'photo', 'come', 'crisp', 'vibrant', 'even', 'low', 'light']",camera quality stunning photo come crisp vibrant even low light,positive,0.5994,"['camera', 'build_quality', 'software']","{'camera': 'positive', 'build_quality': 'positive', 'software': 'neutral'}"
4,Seamless pairing with all my devices. Works every time.,4,electronics,positive,seamless pairing with all my devices works every time,"['seamless', 'pairing', 'device', 'work', 'every', 'time']",seamless pairing device work every time,neutral,1.0,['connectivity'],{'connectivity': 'neutral'}
5,Bluetooth keeps disconnecting every few minutes. Very frustrating.,2,electronics,negative,bluetooth keeps disconnecting every few minutes very frustrating,"['bluetooth', 'keep', 'disconnecting', 'every', 'minute', 'frustrating']",bluetooth keep disconnecting every minute frustrating,negative,0.4927,['connectivity'],{'connectivity': 'neutral'}
6,Screen cracked after a minor drop. Very fragile build quality.,2,electronics,negative,screen cracked after a minor drop very fragile build quality,"['screen', 'cracked', 'minor', 'drop', 'fragile', 'build', 'quality']",screen cracked minor drop fragile build quality,negative,0.2732,"['display', 'build_quality', 'software']","{'display': 'negative', 'build_quality': 'negative', 'software': 'neutral'}"
7,Device overheats constantly during normal usage. Gets dangerously hot.,1,electronics,negative,device overheats constantly during normal usage gets dangerously hot,"['device', 'overheats', 'constantly', 'normal', 'usage', 'get', 'dangerously', 'hot']",device overheats constantly normal usage get dangerously hot,negative,0.4588,['general'],{'general': 'neutral'}
8,The app integration works seamlessly with all my devices.,4,electronics,positive,the app integration works seamlessly with all my devices,"['app', 'integration', 'work', 'seamlessly', 'device']",app integration work seamlessly device,neutral,1.0,['software'],{'software': 'positive'}
9,Seamless pairing with all my devices. Works every time.,4,electronics,positive,seamless pairing with all my devices works every time,"['seamless', 'pairing', 'device', 'work', 'every', 'time']",seamless pairing device work every time,neutral,1.0,['connectivity'],{'connectivity': 'neutral'}
10,Customer support was incredibly helpful and resolved my issue quickly.,5,electronics,positive,customer support was incredibly helpful and resolved my issue quickly,"['customer', 'support', 'incredibly', 'helpful', 'resolved', 'issue', 'quickly']",customer support incredibly helpful resolved issue quickly,positive,0.7755,"['software', 'customer_service']","{'software': 'neutral', 'customer_service': 'positive'}"
